Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,30 ml,₹220,₹186,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Arnica Montana Herbal Shampoo with TJC,200 ml,₹170,₹158,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Boericke and Tafel Arnica Shampoo,250 ml,₹200,₹192,https://www.1mg.com/otc/boericke-and-tafel-arnica-shampoo-otc418583
Dr. Reckeweg R78 Eye Care Drop,22 ml,₹285,₹222,https://www.1mg.com/otc/dr.-reckeweg-r78-eye-care-drop-otc327376
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Hapdco Rheumacon Pain Relief Oil,60 ml,₹175,₹169,https://www.1mg.com/otc/hapdco-rheumacon-pain-relief-oil-otc659823
Fourrts Gum Forte Gel Homoeopathic Toothpaste,100 gm,₹100,₹91,https://www.1mg.com/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835
SBL Jaborandi Hair Oil,200 ml,₹270,₹245,https://www.1mg.com/otc/sbl-jaborandi-hair-oil-otc329035
SBL Cineraria Maritima 10% Eye Drop,10 ml,₹135,₹126,https://www.1mg.com/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Bjain Guatteria Gaumeri Drop,30 ml,₹365,₹243,https://www.1mg.com/otc/bjain-guatteria-gaumeri-drop-otc327159
Bakson's Homeopathy Y-Lax Tablet,200 tablets,₹500,₹334,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc648470
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Sarracenia Purpurea Dilution 1000 CH,30 ml,₹140,₹125,https://www.1mg.com/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,20 gm,₹200,₹186,https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
Dr. Reckeweg R41 Sexual Neurasthenia Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
Dr. Reckeweg R89 Hair Care Drop,30 ml,₹330,₹315,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
